Key,en,es,ar,hi,fr
Please enter the code,Please enter the code,Ingrese el código,الرجاء إدخال الرمز,कृपया कोड दर्ज करें,Veuillez entrer le code
We sent a 6 digit code on,We sent a 6 digit code on,Enviamos un código de 6 dígitos en,أرسلنا رمزًا مكون من 6 أرقام على,हमने 6 अंकीय कोड भेजा,Nous avons envoyé un code à 6 chiffres sur
Authenticator App,Authenticator App,Aplicación de autenticador,تطبيق المصادقة,प्रमाणक ऐप,Application d'authentification
Transaction Logs,Transaction Logs,Registros de transacciones,سجلات المعاملات,लेन-देन लॉग,Journaux de transactions
First Name,First Name,Nombre de pila,الاسم الأول,पहला नाम,Prénom
Last Name,Last Name,Apellido,اسم العائلة,उपनाम,Nom de famille
City,City,Ciudad,مدينة,शहर,Ville
State,State,Estado,ولاية,राज्य,État
Zip Code,Zip Code,Código postal,الرمز البريدي,ज़िप कोड,Code postal
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور,पासवर्ड बदलें,Changer le mot de passe
Current Password,Current Password,Contraseña actual,كلمة السر الحالية,वर्तमान पासवर्ड,Mot de passe actuel
New Password,New Password,Nueva contraseña,كلمة المرور الجديدة,नया पासवर्ड,Nouveau mot de passe
Confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور,पासवर्ड की पुष्टि कीजिये,Confirmez le mot de passe
Automatic Add Money,Automatic Add Money,Automático Agregar dinero,تلقائي إضافة المال,स्वचालित धन जोड़ें,Ajouter de l'argent automatiquement
Gateway,Gateway,Puerta,بوابة,द्वार,Porte
Supported Currency,Supported Currency,Moneda compatible,العملة المدعومة,समर्थित मुद्रा,Devise prise en charge
Enabled Currency,Enabled Currency,Moneda habilitada,عملة ممكّنة,सक्षम मुद्रा,Devise activée
Subscribers,Subscribers,Suscriptores,مشتركين,ग्राहकों,Abonnés
Send Mail,Send Mail,Enviar correo,ارسل بريد,मेल भेजने,Envoyer un courrier
Email To Subscribers,Email To Subscribers,Correo electrónico a suscriptores,البريد الإلكتروني للمشتركين,सब्सक्राइबर्स को ईमेल करें,Envoyer un e-mail aux abonnés
Details,Details,Detalles,تفاصيل,विवरण,Détails
Contact Message,Contact Message,Mensaje de contacto,اتصل بالرسالة,संपर्क संदेश,Message de contact
Contacts,Contacts,Contactos,جهات الاتصال,संपर्क,Contacts
Add Automatic Gateway (Add Money),Add Automatic Gateway (Add Money),Agregar puerta de enlace automática (agregar dinero),أضف بوابة أوتوماتيكية (إضافة أموال),स्वचालित गेटवे जोड़ें (पैसे जोड़ें),Ajouter une passerelle automatique (Ajouter de l'argent)
Gateway Title,Gateway Title,Título de puerta de enlace,عنوان البوابة,गेटवे शीर्षक,Titre de la passerelle
Supported Currencies,Supported Currencies,Monedas compatibles,العملات المدعومة,समर्थित मुद्राएँ,Devises prises en charge
Genarate Fields,Genarate Fields,Campos de genarato,حقول الجينارات,फ़ील्ड जनरेट करें,Générer des champs
Instruction,Instruction,Instrucción,تعليمات,अनुदेश,Instruction
Gateway Image,Gateway Image,Imagen de puerta de enlace,بوابة صورة,गेटवे छवि,Image de la passerelle
Manual Add Money,Manual Add Money,Manual Agregar dinero,دليل إضافة المال,मैनुअल पैसे जोड़ें,Ajouter de l'argent manuellement
Gateway Name,Gateway Name,Nombre de la puerta de enlace,اسم البوابة,गेटवे का नाम,Nom de la passerelle
Currency Code,Currency Code,Código de moneda,رمز العملة,मुद्रा कोड,Code de devise
Automatic Add Money Edit,Automatic Add Money Edit,Automático agregar dinero editar,إضافة أموال تلقائي,स्वचालित धन जोड़ें संपादन,Ajouter de l'argent automatiquement
Update Gateway,Update Gateway,Actualización de la puerta de enlace,تحديث بوابة,गेटवे अपडेट करें,Mettre à jour la passerelle
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ,राशि सीमा,Limite de montant
Contact List,Contact List,Lista de contactos,قائمة الإتصال,संपर्क सूची,Liste de contacts
Subscriber List,Subscriber List,Lista de suscriptores,قائمة المشتركين,सब्सक्राइबर सूची,Liste des abonnés
Useful Links,Useful Links,Enlaces útiles,روابط مفيدة,उपयोगी कड़ियां,Liens utiles
INTERFACE PANEL,INTERFACE PANEL,Panel de interfaz,لوحة واجهة,इंटरफ़ेस पैनल,PANNEAU D'INTERFACE
Top Up Logs,Top Up Logs,Tomar registros,قم بتوضيح السجلات,टॉप अप लॉग,Recharger les journaux
Newsletter,Newsletter,Boletin informativo,النشرة الإخبارية,समाचार पत्रिका,Bulletin
Total Transactions,Total Transactions,Transacciones totales,إجمالي المعاملات,कुल लेनदेन,Total des transactions
Available Country,Available Country,País disponible,البلد المتاح,उपलब्ध देश,Pays disponible
Google Authenticator,Google Authenticator,Autenticador de Google,مصادقة Google,गूगल प्रमाणक,Authentificateur Google
Subscribe,Subscribe,Suscribir,يشترك,सदस्यता लें,S'abonner
Categories,Categories,Categorías,فئات,श्रेणियाँ,Catégories
Billing Details,Billing Details,Detalles de facturación,تفاصيل الفاتورة,बिलिंग विवरण,Détails de facturation
Your Order,Your Order,Su pedido,طلبك,आपका आदेश,Votre commande
Pay Now,Pay Now,Pagar ahora,ادفع الآن,अब भुगतान करें,Payez maintenant
Buy Game Credit,Buy Game Credit,Comprar crédito del juego,شراء ائتمان اللعبة,गेम क्रेडिट खरीदें,Acheter du crédit de jeu
Follow us,Follow us,Síganos,تابعنا,हमारे पर का पालन करें,Suivez-nous
Copyright,Copyright,Derechos de autor,حقوق النشر,कॉपीराइट,Droit d'auteur
All Right Reserved,All Right Reserved,Todos los derechos reservados,جميع الحقوق محفوظة,सर्वाधिकार सुरक्षित,Tous droits réservés
Welcome Back,Welcome Back,Bienvenido de nuevo,مرحبًا بعودتك,वापसी पर स्वागत है,Content de te revoir
Register,Register,Registro,يسجل,पंजीकरण करवाना,Registre
Edit Admin,Edit Admin,Editar administrador,تحرير المسؤول,व्यवस्थापक संपादित करें,Modifier l'administrateur
Admin Profile Image,Admin Profile Image,Imagen de perfil de administración,صورة ملف تعريف المسؤول,व्यवस्थापक प्रोफ़ाइल छवि,Image du profil d'administrateur
Edit Currency,Edit Currency,Editar moneda,تحرير العملة,मुद्रा संपादित करें,Modifier la devise
Country Flag,Country Flag,Bandera del país,علم الدولة,देश का झंडा,Drapeau du pays
USD,USD,Dólar estadounidense,دولار أمريكي,USD,USD
Edit Service Area,Edit Service Area,Editar área de servicio,تحرير منطقة الخدمة,सेवा क्षेत्र संपादित करें,Modifier la zone de service
Rejejct KYC,Rejejct KYC,REJEJCT KYC,Rejejct KYC,केवाईसी अस्वीकार करें,Rejeter KYC
Send Email,Send Email,Enviar correo electrónico,ارسل بريد الكتروني,ईमेल भेजें,Envoyer un e-mail
Rate,Rate,Tasa,معدل,दर,Taux
Mark as Solved,Mark as Solved,Marca como se resuelve,علامة كما تم حلها,हल हो गया के रूप में चिह्नित करें,Marquer comme résolu
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم,समर्थन विवरण,Détails de l'assistance
User Type,User Type,Tipo de usuario,نوع المستخدم,उपयोगकर्ता का प्रकार,Type d'utilisateur
User,User,Usuario,مستخدم,उपयोगकर्ता,Utilisateur
Nanny,Nanny,Niñera,مربية,दाई,Nounou
Description,Description,Descripción,وصف,विवरण,Description
Attachments,Attachments,Archivos adjuntos,المرفقات,संलग्नक,Pièces jointes
Admin,Admin,Administración,مسؤل,व्यवस्थापक,Administrateur
Clear All,Clear All,Limpiar todo,امسح الكل,सभी साफ करें,Tout effacer
Admin Profile,Admin Profile,Perfil de administración,ملف تعريف المسؤول,व्यवस्थापक प्रोफ़ाइल,Profil d'administrateur
Setup Service Area,Setup Service Area,Área de servicio de configuración,منطقة خدمة الإعداد,सेटअप सेवा क्षेत्र,Configurer la zone de service
